Latitude,Longitude,PM10,SO2,NO2,BENZENE,CO,O3,NH3,Month,Temp,Precipitation,Windspeed,Humidity,PM,Year
28.6304,77.1973,292,14,53,2.8,2.4,3,17,11,20,3,3.6,0.41,158,2017
28.6304,77.1973,243,14,48,2.9,3.3,13,19,11,20,3,3.6,0.41,186,2017
28.6304,77.1973,299,16,50,3.9,3.5,22,20,11,20,3,3.6,0.41,173,2017
28.6304,77.1973,249,14,39,2.6,2.6,49,20,11,20,3,3.6,0.41,205,2017
28.6304,77.1973,294,17,56,4.3,4.4,74,17,11,20,3,3.6,0.41,209,2017
28.6304,77.1973,315,16,53,4.1,3.2,19,17,11,20,3,3.6,0.41,608,2017
28.6304,77.1973,684,21,102,5.9,5.5,36,110,11,20,3,3.6,0.41,745,2017
28.6304,77.1973,823,20,76,7.1,4.7,17,36,11,20,3,3.6,0.41,611,2017
28.6304,77.1973,681,14,75,6.1,4,21,28,11,20,3,3.6,0.41,461,2017
28.6304,77.1973,489,17,84,6.2,4.5,4,26,11,20,3,3.6,0.41,390,2017
28.6304,77.1973,521,20,83,7.5,3.6,2,26,11,20,3,3.6,0.41,519,2017
28.6304,77.1973,620,18,77,6.7,3.9,2,30,11,20,3,3.6,0.41,416,2017
28.6304,77.1973,515,16,79,4.8,3.6,2,27,11,20,3,3.6,0.41,293,2017
28.6304,77.1973,405,13,81,3.2,2.4,2,24,11,20,3,3.6,0.41,210,2017
28.6304,77.1973,314,15,75,3.1,2.5,2,20,11,20,3,3.6,0.41,203,2017
28.6304,77.1973,301,15,64,3.6,1.8,2,23,11,20,3,3.6,0.41,151,2017
28.6304,77.1973,234,13,62,2.7,1.3,2,22,11,20,3,3.6,0.41,141,2017
28.6304,77.1973,220,19,65,2.6,1.3,2,22,11,20,3,3.6,0.41,130,2017
28.6304,77.1973,192,15,55,1.8,1.3,2,19,11,20,3,3.6,0.41,172,2017
28.6304,77.1973,240,13,59,2.1,1.5,2,20,11,20,3,3.6,0.41,182,2017
28.6304,77.1973,266,17,65,3.2,2.1,1,23,11,20,3,3.6,0.41,184,2017
28.6304,77.1973,272,16,68,3.5,2.1,1,21,11,20,3,3.6,0.41,182,2017
28.6304,77.1973,283,16,73,3.8,1.6,1,21,11,20,3,3.6,0.41,201,2017
28.6304,77.1973,270,7,80,3.6,2.8,2,20,11,20,3,3.6,0.41,268,2017
28.6304,77.1973,306,12,85,3.2,1.4,2,23,11,20,3,3.6,0.41,146,2017
28.6304,77.1973,324,13,117,5.4,2.8,2,19,11,20,3,3.6,0.41,226,2017
28.6304,77.1973,332,13,84,5.4,1.73,17,22,12,15,10,7.2,0.56,198,2017
28.6304,77.1973,286,14,109,6.7,3.95,51,18,12,15,10,7.2,0.56,188,2017
28.6304,77.1973,360,15,116,6,3.78,29,22,12,15,10,7.2,0.56,240,2017
28.6304,77.1973,406,15,107,5,3.47,31,24,12,15,10,7.2,0.56,267,2017
28.6304,77.1973,349,14,98,4,2.61,11,25,12,15,10,7.2,0.56,225,NA
28.6304,77.1973,228,22,75,3.7,1.9,21,46,12,15,10,7.2,0.56,123,2017
28.6304,77.1973,183,12,58,2.3,1.74,115,17,12,15,10,7.2,0.56,86,2017
28.6304,77.1973,218,15,73,2.7,2.54,139,20,12,15,10,7.2,0.56,112,
28.6304,77.1973,293,24,86,5.1,3.21,151,23,12,15,10,7.2,0.56,168,2017
28.6304,77.1973,377,40,110,6.4,4.03,15,26,12,15,10,7.2,0.56,236,2017
28.6304,77.1973,363,49,119,5.5,3.87,12,27,12,15,10,7.2,0.56,243,2017
28.6304,77.1973,155,24,66,1.8,2.91,14,29,12,15,10,7.2,0.56,121,2017
28.6304,77.1973,200,18,57,2,2,18,30,12,15,10,7.2,0.56,143,2017
28.6304,77.1973,220,17,53,1.7,2.22,18,28,12,15,10,7.2,0.56,136,2017
28.6304,77.1973,232,17,52,1.1,1.99,17,26,12,15,10,7.2,0.56,135,2017
28.6304,77.1973,189,16,62,1.1,2,27,23,12,15,10,7.2,0.56,106,2017
28.6304,77.1973,233,17,66,1.8,2.77,25,27,12,15,10,7.2,0.56,134,2017
28.6304,77.1973,283,23,75,1.8,3.04,16,30,12,15,10,7.2,0.56,183,2017
28.6304,77.1973,492,30,84,3.2,3.64,16,40,12,15,10,7.2,0.56,352,2017
28.6304,77.1973,438,28,82,4.2,2.24,12,44,12,15,10,7.2,0.56,302,2017
28.6304,77.1973,259,22,72,2.5,2.14,17,32,12,15,10,7.2,0.56,166,2017
28.6304,77.1973,192,21,67,2.6,2.56,21,28,12,15,10,7.2,0.56,113,2017
28.6304,77.1973,294,33,82,3.7,3.77,14,29,12,15,10,7.2,0.56,197,2017
28.6304,77.1973,376,39,65,4.4,2.49,18,32,12,15,10,7.2,0.56,268,2017
28.6304,77.1973,356,28,66,2.4,2.24,25,44,12,15,10,7.2,0.56,237,2017
28.6304,77.1973,324,37,74,4.6,2.13,17,29,12,15,10,7.2,0.56,215,2017
28.6304,77.1973,381,39,78,6.2,3.29,24,30,12,15,10,7.2,0.56,251,2017
28.6304,77.1973,363,17,83,4.8,3.34,62,34,12,15,10,7.2,0.56,242,2017
28.6304,77.1973,419,16,84,5.3,4.45,26,37,12,15,10,7.2,0.56,295,2017
28.6304,77.1973,448,9,65,5.2,4.29,26,37,12,15,10,7.2,0.56,326,2017
